formation,slot,role,x,y,tactical_line,side
4-3-3,GK,GK,0.0,0.0,0,center
4-3-3,FB1,FB,-1.8,1.5,1,left
4-3-3,CB1,CB,-0.6,1.3,1,left_center
4-3-3,CB2,CB,0.6,1.3,1,right_center
4-3-3,FB2,FB,1.8,1.5,1,right
4-3-3,DM1,DM,0.0,2.4,2,center
4-3-3,CM1,CM,-0.8,3.1,3,left
4-3-3,CM2,CM,0.8,3.1,3,right
4-3-3,W1,W,-1.9,4.3,4,left
4-3-3,ST1,ST,0.0,4.6,4,center
4-3-3,W2,W,1.9,4.3,4,right
