player_name,sofascore_player_id,current_team,current_team_id,nation,group,position,
Mark Flekken,171919,Bayer 04 Leverkusen,2681,Netherlands,F,GK,
Robin Roefs,1012928,Sunderland,41,Netherlands,F,GK,
Virgil van Dijk,151545,Liverpool FC,44,Netherlands,F,CB,
Denzel Dumfries,759520,Inter,2697,Netherlands,F,"FB, WM",
Nathan Aké,149663,Manchester City,17,Netherlands,F,"CB, FB",
Lutsharel Geertruida,856739,Sunderland,41,Netherlands,F,"CB, FB",
Micky van de Ven,998247,Tottenham Hotspur,33,Netherlands,F,CB,
Jan Paul van Hecke,962012,Brighton & Hove Albion,30,Netherlands,F,CB,
Jorrel Hato,1153079,Chelsea,38,Netherlands,F,"CB, FB",
Frenkie de Jong,795222,FC Barcelona,2817,Netherlands,F,"DM, CM",
Marten de Roon,100389,Atalanta,2686,Netherlands,F,"DM, CM",
Tijjani Reijnders,893549,Manchester City,17,Netherlands,F,"DM, CM, AM",
Teun Koopmeiners,803033,Juventus,2687,Netherlands,F,"DM, CM, AM",
Ryan Gravenberch,904897,Liverpool FC,44,Netherlands,F,"DM, CM",
Justin Kluivert,851596,Bournemouth,60,Netherlands,F,AM,
Quinten Timber,959805,Olympique de Marseille,1641,Netherlands,F,"DM, CM",
Guus Til,845798,PSV Eindhoven,2952,Netherlands,F,"CM, AM",
Memphis Depay,138833,Corinthians,1957,Netherlands,F,ST,
Wout Weghorst,252215,AFC Ajax,2953,Netherlands,F,ST,
Donyell Malen,803039,AS Roma,2702,Netherlands,F,"W, ST",
Cody Gakpo,862967,Liverpool FC,44,Netherlands,F,W,
Noa Lang,875136,Galatasaray,3061,Netherlands,F,W,
Brian Brobbey,910048,Sunderland,41,Netherlands,F,ST,
Mats Wieffer,959628,Brighton & Hove Albion,30,Netherlands,F,"FB, DM, CM",
Crysencio Summerville,917005,West Ham United,37,Netherlands,F,W,
Jacob Widell Zetterström,978728,Derby County,27,Sweden,F,GK,
Gustaf Lagerbielke,965263,Sporting Braga,2999,Sweden,F,"CB, FB",
Victor Lindelöf,143334,Aston Villa,40,Sweden,F,CB,
Isak Hien,1157713,Atalanta,2686,Sweden,F,CB,
Gabriel Gudmundsson,834308,Leeds United,34,Sweden,F,"FB, WM",
Herman Johansson,1099794,FC Dallas,2512,Sweden,F,WM,
Daniel Svensson,1021272,Borussia Dortmund,2673,Sweden,F,"FB, WM",
Alexander Isak,823941,Liverpool FC,44,Sweden,F,ST,
Benjamin Nygren,918517,Celtic,2352,Sweden,F,"CM, AM, W",
Anthony Elanga,979232,Newcastle United,39,Sweden,F,W,
Viktor Johansson,561430,Stoke City,29,Sweden,F,GK,
Ken Sema,319847,Pafos FC,171626,Sweden,F,"FB, WM, W",
Hjalmar Ekdal,875360,Burnley,6,Sweden,F,CB,
Carl Starfelt,360718,Celta Vigo,2821,Sweden,F,CB,
Jesper Karlström,227894,Udinese,2695,Sweden,F,"DM, CM",
Viktor Gyökeres,804508,Arsenal,42,Sweden,F,ST,
Yasin Ayari,1036269,Brighton & Hove Albion,30,Sweden,F,"DM, CM",
Mattias Svanberg,796987,VfL Wolfsburg,2524,Sweden,F,"DM, CM",
Eric Smith,542038,FC St. Pauli,2526,Sweden,F,"CB, DM, CM",
Alexander Bernhardsson,980916,Holstein Kiel,2573,Sweden,F,W,
Besfort Zeneli,1173223,Royale Union Saint-Gilloise,4860,Sweden,F,"DM, CM",
Kristoffer Nordfeldt,22596,AIK,1764,Sweden,F,GK,
Elliot Stroud,1383695,Mjällby AIF,1783,Sweden,F,WM,
Gustaf Nilsson,572286,Club Brugge KV,2888,Sweden,F,ST,
Lucas Bergvall,1391251,Tottenham Hotspur,33,Sweden,F,"CM, AM",
Taha Abdi Ali,1022820,Malmö FF,1892,Sweden,F,"WM, W",
Aymen Dahmen,1198374,CS Sfaxien,44463,Tunisia,F,GK,
Sabri Ben Hessen,359312,Etoile Sportive Du Sahel,35188,Tunisia,F,GK,
Montassar Talbi,879618,Lorient,1656,Tunisia,F,CB,
Dylan Bronn,845271,Servette FC,2448,Tunisia,F,"CB, FB",
Ali Abdi,919027,Nice,1661,Tunisia,F,"FB, WM",
Yan Valery,826202,BSC Young Boys,2445,Tunisia,F,FB,
Moutaz Neffati,1391526,IFK Norrköping,1769,Tunisia,F,FB,
Omar Rekik,976251,NK Maribor,2420,Tunisia,F,CB,
Adem Arous,2018238,Kasımpaşa,6063,Tunisia,F,CB,
Raed Chikhaoui,2018330,US Monastir,59638,Tunisia,F,CB,
Ellyes Skhiri,591706,Eintracht Frankfurt,2674,Tunisia,F,"DM, CM",
Hannibal Mejbri,1009386,Burnley,6,Tunisia,F,"CM, AM",
Anis Ben Slimane,1006147,Norwich City,263,Tunisia,F,"CM, AM",
Mortadha Ben Ouanes,919225,Kasımpaşa,6063,Tunisia,F,"FB, W",
Ismael Gharbi,1113488,FC Augsburg,2600,Tunisia,F,"AM, W",
Rani Khedira,149479,1. FC Union Berlin,2547,Tunisia,F,"DM, CM",
Elias Achouri,945204,FC København,1284,Tunisia,F,"WM, W",
Firas Chaouat,919198,Club Africain,39618,Tunisia,F,ST,
Hazem Mastouri,1991585,Dinamo Makhachkala,362016,Tunisia,F,ST,
Sebastian Tounekti,957143,Celtic,2352,Tunisia,F,W,
Khalil Ayari,1606568,Paris Saint-Germain U21,261343,Tunisia,F,W,
Rayan Elloumi,1872950,Vancouver Whitecaps,22010,Tunisia,F,ST,
Abdelmouhib Chamakh,2018130,Club Africain,39618,Tunisia,F,GK,
Amine Ben Hamida,1000809,Espérance Tunis,59628,Tunisia,F,FB,
Mohamed Belhadj Mahmoud,1008597,FC Lugano,2443,Tunisia,F,"DM, CM",
Elias Saad,1130946,Hannover 96,2541,Tunisia,F,W,
Thibaut Courtois,70988,Real Madrid,2829,Belgium,G,GK,
Senne Lammens,964753,Manchester United,35,Belgium,G,GK,
Mike Penders,1149148,RC Strasbourg,1659,Belgium,G,GK,
Thomas Meunier,128587,Lille,1643,Belgium,G,FB,
Timothy Castagne,329417,Fulham,43,Belgium,G,FB,
Arthur Theate,965778,Eintracht Frankfurt,2674,Belgium,G,"CB, FB",
Zeno Debast,1126512,Sporting CP,3001,Belgium,G,"CB, CM",
Maxim De Cuyper,997152,Brighton & Hove Albion,30,Belgium,G,FB,
Brandon Mechele,248331,Club Brugge KV,2888,Belgium,G,CB,
Koni De Winter,1001828,AC Milan,2692,Belgium,G,"CB, FB",
Joaquin Seys,1395881,Club Brugge KV,2888,Belgium,G,FB,
Nathan Ngoy,1119487,Lille,1643,Belgium,G,"CB, FB",
Axel Witsel,35612,Girona FC,24264,Belgium,G,"CB, DM, CM",
Kevin De Bruyne,70996,SSC Napoli,2714,Belgium,G,"CM, AM",
Youri Tielemans,331737,Aston Villa,40,Belgium,G,"DM, CM",
Hans Vanaken,118085,Club Brugge KV,2888,Belgium,G,"CM, AM",
Amadou Onana,923973,Aston Villa,40,Belgium,G,"DM, CM",
Nicolas Raskin,889378,Rangers,2351,Belgium,G,"DM, CM",
Romelu Lukaku,78893,SSC Napoli,2714,Belgium,G,ST,
Leandro Trossard,135666,Arsenal,42,Belgium,G,W,
Jérémy Doku,934386,Manchester City,17,Belgium,G,W,
Dodi Lukebakio,823631,Benfica,3006,Belgium,G,W,
Charles De Ketelaere,960441,Atalanta,2686,Belgium,G,"AM, ST",
Alexis Saelemaekers,901891,AC Milan,2692,Belgium,G,"WM, W",
Diego Moreira,1142233,RC Strasbourg,1659,Belgium,G,"WM, W",
Matías Fernández-Pardo,1149144,Lille,1643,Belgium,G,ST,
Mohamed El-Shenawy,871735,Al Ahly FC,6910,Egypt,G,GK,
Mostafa Shobeir,1048378,Al Ahly FC,6910,Egypt,G,GK,
Mohamed Alaa,1980828,El Gouna FC,43565,Egypt,G,GK,
Mahdi Soliman,918547,Zamalek SC,42368,Egypt,G,GK,
Hamdy Fathy,918913,Al-Wakrah,44440,Egypt,G,"CB, DM, CM",
Rami Rabia,295339,Al-Ain,37082,Egypt,G,CB,
Mohamed Hany,826545,Al Ahly FC,6910,Egypt,G,FB,
Ahmed Fatouh,880622,Zamalek SC,42368,Egypt,G,FB,
Mohamed Abdelmonem,926506,Nice,1661,Egypt,G,CB,
Yasser Ibrahim,333441,Al Ahly FC,6910,Egypt,G,CB,
Hossam Abdelmaguid,1063327,Zamalek SC,42368,Egypt,G,CB,
Karim Hafez,577736,Pyramids FC,175002,Egypt,G,FB,
Tarek Alaa,1480544,ZED FC,373168,Egypt,G,FB,
Marwan Attia,1013699,Al Ahly FC,6910,Egypt,G,"DM, CM",
Emam Ashour,967032,Al Ahly FC,6910,Egypt,G,"CM, AM",
Mohanad Lasheen,918506,Pyramids FC,175002,Egypt,G,"DM, CM",
Mahmoud Saber,1101624,ZED FC,373168,Egypt,G,"CM, AM",
Nabil Donga,918505,Al-Najma SC,395831,Egypt,G,"DM, CM",
Mostafa Ziko,1418782,Pyramids FC,175002,Egypt,G,W,
Mohamed Salah,159665,Liverpool FC,44,Egypt,G,W,
Mahmoud Trézéguet,295361,Al Ahly FC,6910,Egypt,G,W,
Zizo,547494,Al Ahly FC,6910,Egypt,G,"AM, W",
Omar Marmoush,873554,Manchester City,17,Egypt,G,ST,
Ibrahim Adel,1008171,FC Nordsjælland,1292,Egypt,G,W,
Haissem Hassan,942836,Real Oviedo,2851,Egypt,G,"WM, W",
Hamza Abdelkarim,1961596,Barcelona U19,90128,Egypt,G,ST,
Max Crocombe,197904,Millwall,25,New Zealand,G,GK,
Tim Payne,155882,Wellington Phoenix,7568,New Zealand,G,"CB, FB",
Francis De Vries,867714,Auckland FC,800224,New Zealand,G,FB,
Tyler Bindon,1514870,Sheffield United,15,New Zealand,G,CB,
Michael Boxall,38624,Minnesota United,41618,New Zealand,G,CB,
Joe Bell,822749,Viking FK,1164,New Zealand,G,"DM, CM",
Matthew Garbett,1002607,Peterborough United,54,New Zealand,G,CM,
Marko Stamenić,1002620,Swansea City,74,New Zealand,G,"DM, CM",
Chris Wood,50480,Nottingham Forest,14,New Zealand,G,ST,
Elijah Just,905267,Motherwell,2346,New Zealand,G,"AM, W",
Alex Paulsen,1000379,KS Lechia Gdańsk,7913,New Zealand,G,GK,
Liberato Cacace,905264,Wrexham,64,New Zealand,G,"FB, WM",
Alex Rufer,356256,Wellington Phoenix,7568,New Zealand,G,"DM, CM",
Nando Pijnaker,982371,Auckland FC,800224,New Zealand,G,CB,
Finn Surman,1167100,Portland Timbers,22007,New Zealand,G,CB,
Kosta Barbarouses,31857,Western Sydney Wanderers,72926,New Zealand,G,ST,
Ben Waine,944481,Port Vale,55,New Zealand,G,ST,
Callum McCowatt,822753,Silkeborg IF,1285,New Zealand,G,"AM, W",
Jesse Randall,1002506,Auckland FC,800224,New Zealand,G,"W, ST",
Michael Woud,822737,Auckland FC,800224,New Zealand,G,GK,
Ryan Thomas,333571,PEC Zwolle,2971,New Zealand,G,"DM, CM",
Callan Elliot,959750,Auckland FC,800224,New Zealand,G,,
Lachlan Bayliss,1414979,Newcastle Jets,2934,New Zealand,G,"CM, AM",
Tommy Smith,38111,Braintree Town,182,New Zealand,G,,
Sarpreet Singh,822743,Wellington Phoenix,7568,New Zealand,G,"CM, AM",
Benjamin Old,1122425,Saint-Étienne,1678,New Zealand,G,W,
Alireza Beiranvand,791374,Tractor FC,53715,Iran,G,GK,
Alireza Jahanbakhsh,331837,FCV Dender,389232,Iran,G,W,
Payam Niazmand,932221,Persepolis FC,34314,Iran,G,GK,
Hossein Hosseini,328769,Sepahan S.C.,8018,Iran,G,GK,
Ehsan Hajsafi,1196902,Sepahan S.C.,8018,Iran,G,FB,
Milad Mohammadi,812531,Persepolis FC,34314,Iran,G,FB,
Ramin Rezaeian,786133,Foolad Khuzestan,53703,Iran,G,FB,
Hossein Kanaani,812952,Persepolis FC,34314,Iran,G,CB,
Shoja Khalilzadeh,223340,Tractor FC,53715,Iran,G,CB,
Saleh Hardani,1836024,Esteghlal FC,34316,Iran,G,FB,
Ali Nemati,932486,Foolad Khuzestan,53703,Iran,G,"CB, FB",
Aria Yousefi,1170977,Sepahan S.C.,8018,Iran,G,FB,
Danial Eiri,1464876,Malavan Bandar Anzali FC,53709,Iran,G,CB,
Saeid Ezatolahi,359334,Shabab Al-Ahli Dubai,264111,Iran,G,"DM, CM",
Saman Ghoddos,548050,Al-Ittihad Kalba,55705,Iran,G,"CM, AM",
Mahdi Torabi,812953,Tractor FC,53715,Iran,G,"WM, W",
Roozbeh Cheshmi,828230,Esteghlal FC,34316,Iran,G,"CB, DM, CM",
Mohammad Mohebi,996805,FC Rostov,2326,Iran,G,"W, ST",
Mohammad Ghorbani,1171024,Al-Wahda FC,264115,Iran,G,"DM, CM",
Amirmohammad Razzaghinia,1500737,Esteghlal FC,34316,Iran,G,CM,
Mehdi Taremi,812533,Olympiacos FC,3245,Iran,G,ST,
Amirhossein Hosseinzadeh,905472,Tractor FC,53715,Iran,G,ST,
Ali Alipour,791368,Persepolis FC,34314,Iran,G,ST,
Dennis Eckert Ayensa,812797,Standard Liège,2901,Iran,G,ST,
Mehdi Ghayedi,881182,Al-Nasr Dubai,46332,Iran,G,"W, ST",
Shahriar Moghanlou,993899,Al-Ittihad Kalba,55705,Iran,G,ST,
Vozinha,307436,Chaves,3025,Cape Verde,H,GK,
Márcio Rosa,892133,PFK Montana 1921,32642,Cape Verde,H,GK,
CJ Dos Santos,906020,San Diego FC,1043961,Cape Verde,H,GK,
Stopira,59609,Torreense,25787,Cape Verde,H,"CB, FB",
Pico,147138,Shamrock Rovers,3177,Cape Verde,H,CB,
João Paulo,1001675,FCSB,3301,Cape Verde,H,"FB, CM",
Diney,784677,Al Bataeh,331952,Cape Verde,H,CB,
Logan Costa,911853,Villarreal,2819,Cape Verde,H,CB,
Steven Moreira,287833,Columbus Crew,2504,Cape Verde,H,"CB, FB",
Wagner Pina,1513625,Trabzonspor,3051,Cape Verde,H,"FB, WM",
Sidny Lopes Cabral,1117723,Benfica,3006,Cape Verde,H,FB,
Kelvin Pires,1048591,SJK,22395,Cape Verde,H,CB,
Jamiro Monteiro,815080,PEC Zwolle,2971,Cape Verde,H,"CM, AM",
Deroy Duarte,921089,Ludogorets,43840,Cape Verde,H,"DM, CM",
Telmo Arcanjo,1035280,Vitória SC,3009,Cape Verde,H,W,
Laros Duarte,798177,Puskás Akadémia,25596,Cape Verde,H,"DM, CM",
Yannick Semedo,818064,SC Farense,2998,Cape Verde,H,"DM, CM",
Ryan Mendes,52797,Iğdır FK,388264,Cape Verde,H,W,
Garry Rodrigues,787429,Apollon Limassol,3402,Cape Verde,H,W,
Willy Semedo,889052,Omonia Nicosia,3395,Cape Verde,H,"WM, W",
Jovane Cabral,845802,CF Estrela Amadora,3035,Cape Verde,H,"AM, W",
Hélio Varela,1094395,Maccabi Tel Aviv,5198,Cape Verde,H,W,
Nuno Da Costa,209374,Başakşehir FK,3086,Cape Verde,H,ST,
Kevin Lenini,906838,FC Krasnodar,34425,Cape Verde,H,"DM, CM",
Gilson Tavares,1111215,Akron Togliatti,285689,Cape Verde,H,ST,
Dailon Rocha Livramento,1155358,Casa Pia,36365,Cape Verde,H,ST,
Unai Simón,797291,Athletic Club,2825,Spain,H,GK,
David Raya,581310,Arsenal,42,Spain,H,GK,
Joan García,930267,FC Barcelona,2817,Spain,H,GK,
Aymeric Laporte,149734,Athletic Club,2825,Spain,H,CB,
Marc Cucurella,794939,Chelsea,38,Spain,H,FB,
Marcos Llorente,353138,Atlético Madrid,2836,Spain,H,FB,
Eric García,876214,FC Barcelona,2817,Spain,H,"CB, FB, CM",
Pedro Porro,913654,Tottenham Hotspur,33,Spain,H,FB,
Pau Cubarsí,1402913,FC Barcelona,2817,Spain,H,CB,
Marc Pubill,1094106,Atlético Madrid,2836,Spain,H,"CB, FB",
Rodri,827606,Manchester City,17,Spain,H,"DM, CM",
Mikel Merino,592010,Arsenal,42,Spain,H,CM,
Fabián Ruiz,784655,Paris Saint-Germain,1644,Spain,H,CM,
Pedri,992587,FC Barcelona,2817,Spain,H,"DM, CM",
Martín Zubimendi,966837,Arsenal,42,Spain,H,"DM, CM",
Alex Baena,910031,Atlético Madrid,2836,Spain,H,WM,
Ferran Torres,855833,FC Barcelona,2817,Spain,H,"W, ST",
Mikel Oyarzabal,823622,Real Sociedad,2824,Spain,H,ST,
Dani Olmo,789071,FC Barcelona,2817,Spain,H,"CM, AM",
Nico Williams,1085400,Athletic Club,2825,Spain,H,W,
Lamine Yamal,1402912,FC Barcelona,2817,Spain,H,W,
Yéremy Pino,984624,Crystal Palace,7,Spain,H,"WM, AM, W",
Borja Iglesias,785989,Celta Vigo,2821,Spain,H,ST,
Victor Muñoz,1145642,Osasuna,2820,Spain,H,W,
Alejandro Grimaldo,177177,Bayer 04 Leverkusen,2681,Spain,H,WM,
Pablo Gavi,1103693,FC Barcelona,2817,Spain,H,"CM, W",
Mohammed Al-Owais,791416,Al Ula,853576,Saudi Arabia,H,GK,
Nawaf Al-Aqidi,1014518,Al-Nassr,23400,Saudi Arabia,H,GK,
Ahmed Al-Kassar,818749,Al-Qadsiah,56027,Saudi Arabia,H,GK,
Saud Abdulhamid,966849,RC Lens,1648,Saudi Arabia,H,"FB, WM",
Hassam Altambakti,881837,Al-Hilal,21895,Saudi Arabia,H,"CB, FB",
Abdulelah Al-Amri,881831,Al-Nassr,23400,Saudi Arabia,H,CB,
Nawaf Boushal,986400,Al-Nassr,23400,Saudi Arabia,H,FB,
Ali Majrashi,917035,Al-Ahli,34469,Saudi Arabia,H,FB,
Ali Lajami,818667,Al-Hilal,21895,Saudi Arabia,H,CB,
Hassan Kadesh,847235,Al-Ittihad,34315,Saudi Arabia,H,"CB, FB",
Moteb Al-Harbi,1022679,Al-Hilal,21895,Saudi Arabia,H,FB,
Jehad Thakri,1845169,Al-Qadsiah,56027,Saudi Arabia,H,"CB, FB",
Mohammed Abu Al-Shamat,1804369,Al-Qadsiah,56027,Saudi Arabia,H,"FB, WM",
Salem Al-Dawsari,160893,Al-Hilal,21895,Saudi Arabia,H,W,
Mohamed Kanno,828524,Al-Hilal,21895,Saudi Arabia,H,"DM, CM, AM",
Nasser Al-Dawsari,872607,Al-Hilal,21895,Saudi Arabia,H,"DM, CM, WM",
Abdullah Al-Khaibari,867179,Al-Nassr,23400,Saudi Arabia,H,"DM, CM",
Musab Al Juwayr,1106234,Al-Qadsiah,56027,Saudi Arabia,H,"DM, CM, AM",
Ayman Yahya,1130539,Al-Nassr,23400,Saudi Arabia,H,"FB, W",
Ziyad Aljohani,1048372,Al-Ahli,34469,Saudi Arabia,H,"DM, CM",
Sultan Mandash,818568,Al-Hilal,21895,Saudi Arabia,H,"WM, W",
Ala'a Al-Hejji,826242,Neom SC,530631,Saudi Arabia,H,"DM, CM",
Firas Al-Buraikan,893307,Al-Ahli,34469,Saudi Arabia,H,"W, ST",
Saleh Al-Shehri,818779,Al-Ittihad,34315,Saudi Arabia,H,ST,
Abdullah Al-Hamdan,915991,Al-Nassr,23400,Saudi Arabia,H,"AM, ST",
Khalid Al-Ghannam,976538,Al-Ettifaq,34318,Saudi Arabia,H,W,
Fernando Muslera,28381,Estudiantes de la Plata,3206,Uruguay,H,GK,
Sergio Rochet,581060,Internacional,1966,Uruguay,H,GK,
Santiago Mele,846421,CF Monterrey,1932,Uruguay,H,GK,
José María Giménez,325355,Atlético Madrid,2836,Uruguay,H,CB,
Matías Viña,875295,River Plate,3211,Uruguay,H,FB,
Mathías Olivera,805078,SSC Napoli,2714,Uruguay,H,"CB, FB",
Guillermo Varela,311456,Flamengo,5981,Uruguay,H,FB,
Ronald Araújo,925097,FC Barcelona,2817,Uruguay,H,CB,
Sebastián Cáceres,924889,Club América,1939,Uruguay,H,CB,
Joaquín Piquerez,881110,Palmeiras,1963,Uruguay,H,"FB, WM",
Santiago Bueno,846308,Wolverhampton,3,Uruguay,H,CB,
Rodrigo Bentancur,791190,Tottenham Hotspur,33,Uruguay,H,"DM, CM",
Federico Valverde,831808,Real Madrid,2829,Uruguay,H,"DM, CM, WM",
Giorgian de Arrascaeta,333587,Flamengo,5981,Uruguay,H,AM,
Facundo Pellistri,989803,Panathinaikos FC,3248,Uruguay,H,W,
Manuel Ugarte,846425,Manchester United,35,Uruguay,H,"DM, CM",
Nicolás de la Cruz,877513,Flamengo,5981,Uruguay,H,"DM, CM, AM",
Brian Rodríguez,932233,Club América,1939,Uruguay,H,W,
Maximiliano Araújo,929193,Sporting CP,3001,Uruguay,H,"FB, WM, W",
Agustín Canobbio,846413,Fluminense,1961,Uruguay,H,W,
Emiliano Martínez,973533,Palmeiras,1963,Uruguay,H,"DM, CM",
Rodrigo Zalazar,966575,Sporting Braga,2999,Uruguay,H,"CM, AM",
Juan Sanabria,874568,Real Salt Lake,5133,Uruguay,H,"FB, WM",
Darwín Núñez,924871,Al-Hilal,21895,Uruguay,H,ST,
Federico Viñas,976104,Real Oviedo,2851,Uruguay,H,ST,
Rodrigo Aguirre,155974,Tigres UANL,1940,Uruguay,H,ST,
Brice Samba,164055,Stade Rennais,1658,France,I,GK,
Malo Gusto,996958,Chelsea,38,France,I,FB,
Lucas Digne,96538,Aston Villa,40,France,I,FB,
Dayot Upamecano,798583,FC Bayern München,2672,France,I,CB,
Jules Koundé,827212,FC Barcelona,2817,France,I,FB,
Manu Koné,974087,AS Roma,2702,France,I,"DM, CM",
Ousmane Dembélé,818244,Paris Saint-Germain,1644,France,I,"W, ST",
Aurélien Tchouaméni,859025,Real Madrid,2829,France,I,"CB, DM, CM",
Marcus Thuram,791702,Inter,2697,France,I,ST,
Kylian Mbappé,826643,Real Madrid,2829,France,I,ST,
Michael Olise,978838,FC Bayern München,2672,France,I,W,
Bradley Barcola,996952,Paris Saint-Germain,1644,France,I,W,
N'Golo Kanté,234148,Fenerbahçe,3052,France,I,"DM, CM",
Adrien Rabiot,250737,AC Milan,2692,France,I,"CM, AM",
Ibrahima Konaté,826215,Liverpool FC,44,France,I,CB,
Mike Maignan,191210,AC Milan,2692,France,I,GK,
William Saliba,941168,Arsenal,42,France,I,CB,
Warren Zaïre-Emery,1142672,Paris Saint-Germain,1644,France,I,"FB, CM",
Theo Hernández,788027,Al-Hilal,21895,France,I,FB,
Désiré Doué,1154605,Paris Saint-Germain,1644,France,I,W,
Lucas Hernández,352370,Paris Saint-Germain,1644,France,I,"CB, FB",
Jean Philippe Mateta,848276,Crystal Palace,7,France,I,ST,
Robin Risser,1387161,RC Lens,1648,France,I,GK,
Rayan Cherki,979128,Manchester City,17,France,I,"AM, W",
Maghnes Akliouche,1130939,AS Monaco,1653,France,I,"AM, W",
Maxence Lacroix,879674,Crystal Palace,7,France,I,CB,
Ørjan Nyland,22209,Sevilla,2833,Norway,I,GK,
Egil Selvik,798176,Watford,24,Norway,I,GK,
Sander Tangvik,1030355,Hamburger SV,2676,Norway,I,GK,
Kristoffer Ajer,576384,Brentford,50,Norway,I,"CB, FB",
Julian Ryerson,800951,Borussia Dortmund,2673,Norway,I,"FB, WM",
Leo Østigård,879746,Genoa,2713,Norway,I,CB,
David Møller Wolfe,1031283,Wolverhampton,3,Norway,I,FB,
Fredrik André Bjørkan,795154,Bodø/Glimt,656,Norway,I,FB,
Torbjørn Heggem,933264,Bologna,2685,Norway,I,"CB, FB",
Sondre Langås,1026541,Derby County,27,Norway,I,"CB, FB",
Martin Ødegaard,547410,Arsenal,42,Norway,I,CM,
Sander Berge,793167,Fulham,43,Norway,I,"DM, CM",
Patrick Berg,355174,Bodø/Glimt,656,Norway,I,CM,
Kristian Thorstvedt,924973,Sassuolo,2793,Norway,I,"CM, AM",
Morten Thorsby,280991,Cremonese,2761,Norway,I,"CM, AM",
Antonio Nusa,1121923,RB Leipzig,36360,Norway,I,"WM, W",
Fredrik Aursnes,228364,Benfica,3006,Norway,I,"DM, CM",
Oscar Bobb,1065216,Fulham,43,Norway,I,"W, ST",
Jens Petter Hauge,838805,Bodø/Glimt,656,Norway,I,W,
Andreas Schjelderup,1100952,Benfica,3006,Norway,I,W,
Thelo Aasgaard,1065989,Rangers,2351,Norway,I,"CM, AM",
Alexander Sørloth,309078,Atlético Madrid,2836,Norway,I,ST,
Erling Haaland,839956,Manchester City,17,Norway,I,ST,
Jørgen Strand Larsen,876599,Crystal Palace,7,Norway,I,ST,
Marcus Pedersen,934409,Torino,2696,Norway,I,"FB, WM",
Henrik Sælebakke Falchener,1022374,Viking FK,1164,Norway,I,CB,
Edouard Mendy,845074,Al-Ahli,34469,Senegal,I,GK,
Mory Diaw,580226,Le Havre,1662,Senegal,I,GK,
Yehvann Diouf,845183,Nice,1661,Senegal,I,GK,
Kalidou Koulibaly,126071,Al-Hilal,21895,Senegal,I,CB,
Krépin Diatta,873534,AS Monaco,1653,Senegal,I,CB,
Moussa Niakhaté,758168,Olympique Lyonnais,1649,Senegal,I,CB,
Ismail Jakobs,897291,Galatasaray,3061,Senegal,I,FB,
Abdoulaye Seck,583896,Maccabi Haifa,5197,Senegal,I,CB,
El Hadji Malick Diouf,1471764,West Ham United,37,Senegal,I,"FB, WM",
Antoine Mendy,1120615,Nice,1661,Senegal,I,"CB, FB",
Mamadou Sarr,1154657,Chelsea,38,Senegal,I,CB,
Idrissa Gana Gueye,106337,Everton,48,Senegal,I,"DM, CM",
Pape Gueye,879694,Villarreal,2819,Senegal,I,CM,
Pape Matar Sarr,1002711,Tottenham Hotspur,33,Senegal,I,"DM, CM",
Pathé Ismaël Ciss,913679,Rayo Vallecano,2818,Senegal,I,"DM, CM",
Lamine Camara,1389846,AS Monaco,1653,Senegal,I,"DM, CM",
Habib Diarra,1128532,Sunderland,41,Senegal,I,"CM, AM",
Bara Sapoko Ndiaye,2427970,FC Bayern München,2672,Senegal,I,CM,
Assane Diao,1493689,Como,2704,Senegal,I,W,
Sadio Mané,217704,Al-Nassr,23400,Senegal,I,"WM, W",
Ismaïla Sarr,845286,Crystal Palace,7,Senegal,I,"AM, W",
Iliman Ndiaye,914309,Everton,48,Senegal,I,W,
Nicolas Jackson,1085381,FC Bayern München,2672,Senegal,I,ST,
Ahmadou Bamba Dieng,1102503,Lorient,1656,Senegal,I,ST,
Cherif Ndiaye,868268,Samsunspor,3053,Senegal,I,ST,
Ibrahim Mbaye,1590918,Paris Saint-Germain,1644,Senegal,I,W,
Merchas Doski,1381224,FK Viktoria Plzeň,4502,Iraq,I,"FB, WM",
Hussein Ali,962056,Pogoń Szczecin,3117,Iraq,I,FB,
Manaf Younis,1176558,Al-Shorta,61532,Iraq,I,CB,
Jalal Hassan,196454,Al-Zawraa,35888,Iraq,I,GK,
Fahad Talib,884092,Al Talaba,47485,Iraq,I,GK,
Ahmed Basil,888896,Al-Shorta,61532,Iraq,I,GK,
Rebin Sulaka,362504,Port FC,40661,Iraq,I,CB,
Zaid Tahseen,1150051,Pakhtakor Tashkent,34310,Iraq,I,CB,
Frans Putros,851676,Persib Bandung,64289,Iraq,I,"CB, DM, CM",
Ahmed Hassan Maknazi,1381227,Al Karma SC,505704,Iraq,I,FB,
Mustafa Saadoon,1500435,Al-Shorta,61532,Iraq,I,FB,
Akam Hashem,1631451,Al-Zawraa,35888,Iraq,I,CB,
Ibrahim Bayesh,920815,Al-Dhafra,81305,Iraq,I,CM,
Amir Al-Ammari,915325,Cracovia,4901,Iraq,I,"DM, CM",
Ali Jasim,1066729,Al-Najma SC,395831,Iraq,I,W,
Youssef Amyn,1106352,AEK Larnaca,3404,Iraq,I,W,
Zidane Iqbal,1014225,FC Utrecht,2948,Iraq,I,"DM, CM",
Marko Farji,1026519,Venezia,2688,Iraq,I,W,
Kevin Yakob,936451,AGF,1291,Iraq,I,"DM, CM",
Aimar Sher,981574,Sarpsborg 08,822,Iraq,I,"DM, CM",
